charge,dose
985.128105537555,48.23292414407759
988.718225476473,48.65164289601819
992.3083454153908,49.0719329523362
995.8984653543088,49.49384978421185
999.4885852932264,49.917529018882085
1003.0787052321444,50.342617584347416
1006.668825171062,50.76908233646783
1010.25894510998,51.19710215485462
1013.8490650488976,51.626454101711445
1017.4391849878156,52.05703179451832
1021.0293049267334,52.4888719171679
1024.6194248656514,52.92209477111567
1028.209544804569,53.35641898908732
1031.799664743487,53.79184073648228
1035.3897846824048,54.22849731400902
1038.9799046213227,54.6663143825908
1042.5700245602404,55.10516880688786
1046.1601444991584,55.54506741380094
1049.750264438076,55.98619450847982
1053.340384376994,56.42839910053768
1056.9305043159118,56.87164060603912
1060.5206242548295,57.31594628740534
1064.1107441937477,57.76154623542848
1067.7008641326654,58.20824891151915
1071.2909840715831,58.65605657202818
1074.881104010501,59.10501258938231
1078.4712239494188,59.55540571031143
1082.0613438883368,60.007024478817314
1085.6514638272545,60.4598924466239
1089.2415837661724,60.914067776868336
1092.83170370509,61.36983165525034
1096.421823644008,61.82706099766609
1100.0119435829258,62.28575885676861
1103.6020635218438,62.74598149586716
1107.1921834607615,63.2078962861937
1110.7823033996794,63.67166917000928
1114.3724233385972,64.13716681214521
1117.9625432775151,64.6044405993199
1121.5526632164328,65.07354274652553
1125.1427831553508,65.54482902992999
1128.7329030942683,66.01816746735912
1132.3230230331865,66.49359563741595
1135.9131429721042,66.97115411740938
1139.503262911022,67.45086223783254
1143.09338284994,67.93310613569369
1146.6835027888578,68.41766415679692
1150.2736227277755,68.90464454173582
1153.8637426666935,69.3940792420506
1157.4538626056112,69.88594563413966
1161.0439825445292,70.38049010396264
1164.634102483447,70.87770558170206
1168.2242224223648,71.37756761288497
1171.8143423612826,71.88015989815375
1175.4044623002003,72.38551612692255
1178.9945822391182,72.893630473967
1182.5847021780362,73.40462872335758
1186.174822116954,73.91868835155415
1189.764942055872,74.4356741663351
1193.3550619947896,74.95569503704036
1196.9451819337075,75.47877846565541
1200.5353018726253,76.00495106116635
1204.125421811543,76.53428655455878
1207.715541750461,77.06686796091917
1211.305661689379,77.60273424175
1214.8957816282966,78.14209231296255
1218.4859015672143,78.68480995221458
1222.0760215061323,79.23096059994016
1225.66614144505,79.78062853148627
1229.256261383968,80.33384148879824
1232.8463813228857,80.89063668486477
1236.4365012618036,81.45107007427772
1240.0266212007214,82.01519738896079
1243.616741139639,82.5830740909725
1247.206861078557,83.15475929362898
1250.796981017475,83.73031695021439
1254.3871009563927,84.30980838582059
1257.977220895311,84.89329287908919
1261.5673408342284,85.4808294146204
1265.1574607731463,86.0724766988647
1268.747580712064,86.6682934555716
1272.337700650982,87.26833861873715
1275.9278205898995,87.87266717599948
1279.5179405288177,88.48132898415699
1283.1080604677354,89.09437168212307
1286.6981804066534,89.71183957913038
1290.288300345571,90.33377187100037
1293.878420284489,90.96020252065787
1297.4685402234068,91.59116065202387
1301.0586601623247,92.2266709429491
1304.6487801012424,92.86675401463928
1308.2389000401604,93.51142681517916
1311.829019979078,94.16077363249175
1315.419139917996,94.81488445136956
1319.0092598569138,95.47366940582012
1322.5993797958315,96.13720970186348
1326.1894997347497,96.80551874338056
1329.7796196736674,97.47848983201702
1333.3697396125851,98.15612333549454
1336.959859551503,98.8384187055126
1340.5499794904208,99.5255908058336
1344.1400994293388,100.21760695454606
1347.7302193682565,100.91444454331004
1351.3203393071744,101.6161251405002
1354.9104592460922,102.32248464220136
1358.50057918501,103.03364249567204
1362.0906991239278,103.74979532409074
1365.6808190628458,104.47081120773724
1369.2709390017635,105.19679422851402
1372.8610589406817,105.92752587149909
1376.4511788795992,106.66329406102876
1380.0412988185171,107.4040443810346
1383.6314187574349,108.1499017142559
1387.2215386963528,108.90065575884444
1390.8116586352703,109.65657704224682
1394.4017785741885,110.41759367380934
1397.9918985131062,111.18385267391928
1401.5820184520242,111.9552617478998
1405.172138390942,112.73198066721756
1408.7622583298598,113.51407545420273
1412.3523782687776,114.30153788165131
1415.9424982076955,115.09445708802528
1419.5326181466132,115.8929577216634
1423.1227380855312,116.69710790875406
